,Name,Width,Height,Width Added,Height Added
0,Natore,23085,30267,513,513
1,Satkhira,22059,65664,513,513
2,Chattogram,42579,57456,513,513
3,Netrakona,35397,32319,513,513
4,Maulvibazar,32832,35910,513,513
5,Narsingdi,20007,25137,513,513
6,Khagrachhari,22059,53352,513,513
7,Panchagarh,22572,32832,513,513
8,Gaibandha,27189,31806,513,513
9,Dhaka,24111,26676,513,513
10,Bagerhat,20520,64125,513,513
11,Nawabganj,23598,28215,513,513
12,Jhenaidah,31806,28215,513,513
13,Meherpur,15390,19494,513,513
14,Mymensingh,34884,49248,513,513
15,Noakhali,25137,56430,513,513
16,Khulna,24624,66690,513,513
17,Kushtia,31293,25650,513,513
18,Bandarba,29241,58995,513,513
19,Sirajganj,27189,39501,513,513
20,Sylhet,40527,30780,513,513
21,Pabna,34371,28215,513,513
22,Comilla,34884,38475,513,513
23,Dinajpur,43092,43605,513,513
24,Bhola,23598,50274,513,513
25,Brahamanbaria,28728,31806,513,513
26,Sunamganj,37962,32832,513,513
27,Habiganj,24624,36936,513,513
28,Tangail,26676,42579,513,513
29,Narail,20007,19494,513,513
30,Nilphamari,19494,30267,513,513
31,Rajbari,26676,17955,513,513
32,Jhalokati,17442,23085,513,513
33,Kurigram,20520,45144,513,513
34,Madaripur,20007,27189,513,513
35,Sherpur,20007,22059,513,513
36,Manikganj,26676,20520,513,513
37,Jessore,33858,29754,513,513
38,Faridpur,32319,26163,513,513
39,Chuadanga,17955,24624,513,513
40,Joypurhat,16929,22059,513,513
41,Lalmonirhat,31293,35397,513,513
42,Narayanganj,14877,18981,513,513
43,Pirojpur,15903,36423,513,513
44,Thakurga,26676,28728,513,513
45,Naogao,35781,34973,129,424
46,Cox's Bazar,24624,66690,513,513
47,Kishoreganj,31806,31806,513,513
48,Chandpur,23085,26676,513,513
49,Rajshahi,31806,31293,513,513
50,Rangamati,33345,95931,513,513
51,Barisal,31293,31293,513,513
52,Shariatpur,18468,23085,513,513
53,Gopalganj,22059,26163,513,513
54,Jamalpur,26676,44631,513,513
55,Lakshmipur,17442,34371,513,513
56,Munshiganj,26163,15390,513,513
57,Gazipur,26163,25650,513,513
58,Feni,15903,27189,513,513
59,Bogra,35910,30267,513,513
60,Patuakhali,27189,41553,513,513
61,Barguna,23598,31806,513,513
62,Rangpur,28728,34884,513,513
63,Magura,18981,22059,513,513
